"Formularz";"Nazwa pola";"Logiczna nazwa pola";"Typ pola";"Zrodlo wartosci";"Opis logiki";"Moment aktualizacji";"Uwagi"
"Produkt Przetargu";"Ostatnia data otrzymania warunków";"neu_lastzpzkdate";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ostatnia cena ZPZK z otrzymanych warunków";"neu_lastpricezpzk";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Typ kalkulacji z otrzymanych warunków";"neu_caltulationtype";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Nazwa międzynarodowa";"neu_nameinternational";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Postać";"neu_form";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Dawka";"neu_dosage";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Jednostka miary proponowana";"neu_unit";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Problem z przeliczeniem ilości jednostek miary";"neu_unitamountproblem";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ilość jednostek miary do kalkulacji";"neu_unitamount";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ilość jednostek miary do kalkulacji - zmiana";"neu_unitamountchange";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ilość jednostek miary do SAP";"neu_unitamountsap";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Opakowanie";"neu_packaging";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ilość sztuk w opakowaniu";"neu_packagingqty";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ilość sztuk w opakowaniu - zmiana";"neu_packagingqtychange";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Opakowanie zbiorcze";"neu_packagingset";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Droga podania";"neu_routeofadministration";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Substancja czynna";"neu_activesubstance";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Nazwa rozczytana";"neu_namefromexcel";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Postać rozczytana";"neu_formfromexcel";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Dawka rozczytana";"neu_dosagefromexcel";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Jednostka rozczytana";"neu_unitfromexcel";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ilość jednostek miary z zapytania (specyfikacji)";"neu_unitamountfromexcel";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Opakowanie rozczytane";"neu_packagefromexcel";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ilość sztuk rozczytana";"neu_quantityfromexcel";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Output RowNum";"neu_outputrownum";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Output Sheet";"neu_outputsheet";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Opakowanie do przeliczeń";"neu_packageforcalc";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Sprawdzono";"neu_ischecked";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Prawidłowo zmapowany";"neu_iscorrectmappeditem";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Prawidłowo skalkulowany";"neu_iscorrectcalculateditem";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Liczba dopasowanych produktów";"neu_numberofmappedproducts";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Zremapuj produkt";"WebResource_ButtonTenderProductRunMapper";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Produkty Dopasowane";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Dodaj do ZPZK";"WebResource_neu_tenderproductaddPositionZPZK";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Rekalkuluj";"WebResource_CalcButton";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Czas ostatniej rekalkulacji";"neu_lastcalctime";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Narzut% PRE";"neu_overheadpercentpre";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"% Narzut";"neu_overheadpercent";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena zakupu ZACZ";"neu_pricepurchase";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena jednostkowa ZACZ";"neu_pricepurchaseunit";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"% Marża brutto";"neu_marginbruttopercent";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena sprzedaży";"neu_priceselling";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Wartość netto  SAP";"neu_budgetsalesap";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Korekta narzutu";"neu_overheadadjustment";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena specjalna zakupu ZPZK";"neu_pricespecialpurchase";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena jednostkowa ZPZK";"neu_pricespecialpurchaseunit";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Limit twardy";"neu_istradetermssalelimit";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Wartość netto oferta";"neu_budgetsale";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Limit sprzedaży";"neu_tradetermssalelimit";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"VAT (%)";"neu_vatrate";"Opcje wyboru";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Produkt Przetargu";"Cena zakupu po rabatach";"neu_pricepurchaseafterdiscounts";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"RSS netto";"neu_pricerss";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena urzędowa";"neu_priceassize";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena handlowa po podwyżce";"neu_pricetradeafterrise";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena hurtowa ZCCG";"neu_pricewholesalezccg";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Wartość brutto SAP";"neu_budgetsalebruttosap";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Ilość jednostek miary do kalkulacji";"neu_unitamount";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena jednostki miary";"neu_priceperunit";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Wycena za sztukę";"neu_ispricingperitem";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Data podwyżki producenta";"neu_pricetraderisedate";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena do kalkulacji wartości narzutu";"neu_pricetooverheadcalc";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Marża brutto do SAP";"neu_marginbruttosap";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena do kalkulacji wartości narzutu do SAP";"neu_pricetooverheadcalcsap";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Specjalistyczna umowa NFZ";"neu_isspecializedcontractnfz";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Produkt w Programie Lekowym";"neu_isdrugprogram";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Produkt problematyczny";"neu_isproblem";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Status dopuszczenia do obrotu";"neu_istradingadmissionstate";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Data dopuszczenia";"neu_tradingadmissiondate";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Numer dopuszczenia";"neu_tradingadmissionnumber";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Nazwa handlowa";"neu_istradename";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Sposób przeliczania ceny jednostkowej";"neu_priceperunitcalcmethod";"Opcje wyboru
- Zaokr. do 2 m-c po przecinku : 279660000
- Zaokr. do 3 m-c po przecinku : 279660001
- Zaokr. do 4 m-c po przecinku : 279660002";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Produkt Przetargu";"Reguła zmiany wielkości opakowania";"neu_packagingchangemethod";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Wartość X";"neu_packagingchangemethodvalue_x";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Sposób przeliczania wielkości opakowań";"neu_packagingcalculatemethod";"Opcje wyboru";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Produkt Przetargu";"Zgoda na Zamienniki";"neu_issubstitutesconsent";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Wymagana akceptacja";"neu_isaccept";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Powód problematyczności produktu";"neu_problemdescription";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Zgoda na zmianę postaci";"neu_isformchangeconsent";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Numer Oferty Producenta";"neu_code";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Aktywny w Pharmindex";"neu_isactiveinpharmindex";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Dopuszczony-Pharmindex brak";"neu_csioz";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Zmiana danych na Produkcie";"neu_isdatachange";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Nieaktywny Produkt SAP";"neu_isinactiveproductsap";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Status zaopatrzenia";"neu_supplystatus";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Sposób rozliczania";"neu_settlementmethod";"Opcje wyboru";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Produkt Przetargu";"Powód akceptacji";"neu_acceptdescription";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"MW / IR";"neu_isproducermwir";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Limit ceny Programu Lekowego";"neu_pricedrugprogramlimit";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Cena sprzedaży brutto";"neu_pricesellingbrutto";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Szacowana cena zakupu po podwyżce";"neu_pricepurchaseafterriseestimated";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Maksymalna cena hurtowa";"neu_pricewholesalemaximum";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Jednostkowa różnica między ceną specjalną a zakupu";"neu_unitdifferencepricespecialvspurchase";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Koszt własny ZACH";"neu_costzach";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Przetargu";"Marża brutto";"neu_marginbrutto";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
